section	question text	info text	user answer	placeholder text	options	input type	required	Response Cells	Response Cell2	key	reference	logic	condition	mothballed	group	Units	mothballed	reportQs	Question identifier
Basics	What state do you live in?	Unsure?  Don't worry, just pick the best/closest fit for you.			California,Colorado,Florida,Illinois,Massachusetts,Maryland,Maine,Minnesota,North Carolina,New Jersey,New York,Ohio,Ontario,Pennsylvania,Vermont	Select	yes	Colorado	i2	2					Location	location			10135
Basics	"Working at an environmentally responsible employer is important to me"				Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree	Select			i3	4					Opinions 1 of 2				10012
Basics	"I am familiar with my employer's sustainability and energy reduction efforts"				Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree	Select			i4	5					Opinions 1 of 2				10001
Basics	"I am interested in making sustainabilty improvements at home and in my community"				Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree	Select			i5	6					Opinions 1 of 2				10002
Basics	"I don't know where to start"				Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree	Select			i6	7					Opinions 2 of 2				10003
Basics	"I have some ideas, but I'm unsure of the next steps"				Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree	Select			i7	8					Opinions 2 of 2				10004
Basics	"It takes too much time"				Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree	Select			i8	9					Opinions 2 of 2				10011
Basics	"It is too expensive"				Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree	Select			i9	10					Opinions 2 of 2				10010
Basics	"It is too disruptive or inconvenient"				Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree	Select			i10	11					Opinions 2 of 2				10009
Basics	Comfort (e.g. temperature, draftiness)	Are you concerned about the following issues with respect to your home?			Very Unconcerned,Unconcerned,Neutral,Concerned,Very Concerned	Select			i11	2001					Home Concerns				10048
Basics	Indoor Air Quality (e.g. excessive dust, wood smoke, radon, carbon monoxide)				Very Unconcerned,Unconcerned,Neutral,Concerned,Very Concerned	Select			i12	2002					Home Concerns				10084
Basics	High Energy Bills (e.g. Heating, Cooling)	High Energy Bills			Very Unconcerned,Unconcerned,Neutral,Concerned,Very Concerned	Select			i13	2003					Home Concerns				10057
Basics	Pests (e.g. rodents, insects)				Very Unconcerned,Unconcerned,Neutral,Concerned,Very Concerned	Select			i14	2004					Home Concerns				10090
Basics	Moisture or Mildew    				Very Unconcerned,Unconcerned,Neutral,Concerned,Very Concerned	Select			i15	2005					Home Concerns				10087
Basics	Does anyone in your home have respiratory problems?	While there are many causes and contributing factors to respiratory issues, indoor air quality in the home can often be improved and help those who live there breathe a little easier.			No,Yes	Radio			i16	2006					Health				10054
Food & Waste	In the last 12 months, how many people lived in your household?	What was the average population of your household in the last 12 months? You can add a decimal point if the number changed over the year. Still not sure? Perhaps our <a href="{{survey.url}}/faq#household" target="_blank">FAQ</a> can help!		How many people?		Integer	yes		i24	12				 	Food				10082
Food & Waste	How often does your household eat meat?	It takes more energy to make a calorie of meat than a calorie of grains, fruits, or vegetables. Knowing the relative frequency helps improve carbon emission estimates. <a href="{{survey.url}}/faq#food" target="_blank">FAQ</a>			Never,Rarely,Every Other Day,Most Days,Most Meals	Select	yes		i25	13				 	Food				10079
