Region,Characteristic,Value (metric tons CO2e/year),Updated?,Year,Source,Notes
California,Household Size,2.94,Y,2009-2013,http://quickfacts.census.gov/qfd/states/34000.html,
California,Electricity,2.00,Y,2014,Calculated in workbook,
California,Other Fuels,2.05,Y,2013,https://www.eia.gov/state/seds/seds-data-complete.cfm (2013); American Communities Survey (2013),See Regional Averages by Sector workbook
California,Long Distance travel,1.50,Y,2014,See long distance travel tab. National average,See Regional Averages by Sector workbook
California,Personal Vehicles Total (w/Commuting),10.06,Y,2013,See personal vehicles tab.,See Regional Averages by Sector workbook
California,Personal Vehicles (w/out Commuting),7.26,Y,2013,http://traveltrends.transportation.org/Documents/B2_CIA_Role%20Overall%20Travel_web_2.pdf,
California,Personal Vehicles (Commuting),2.80,Y,2013,http://traveltrends.transportation.org/Documents/B2_CIA_Role%20Overall%20Travel_web_2.pdf,
California,Food*,7.75,Y,2015,Per household. Based on numbers derived from CoolClimate Calculator and Cenus numbers of adults and youth/household. See Food tab.,See Regional Averages by Sector workbook
California,Waste disposal*,0.74,Y,2015,"Based on EPA Warm model, scaled by household size",See Regional Averages by Sector workbook
California,Food and Waste Total,8.49,N/A,,,
California,Housing Total,4.04,N/A,,,
California,Transportation Total,11.56,N/A,,,
California,Total,24.09,N/A,,,
Canada,Household Size,2.50,Y,2011,http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/details/page.cfm?Lang=E&Geo1=PR&Code1=01&Geo2=PR&Code2=01&Data=Count&SearchText=01&SearchType=Begins&SearchPR=01&B1=All&Custom=&TABID=3,
Canada,Electricity,2.58,,,,
Canada,Other Fuels,6.39,,,,
Canada,Long Distance travel,2.57,,,,
Canada,Personal Vehicles Total (w/Commuting),1.50,,,,
Canada,Personal Vehicles (w/out Commuting),9.75,,,,
Canada,Personal Vehicles (Commuting),7.04,,,,
Canada,Food*,2.71,,,,
Canada,Waste disposal*,6.78,,,,
Canada,Food and Waste Total,9.49,N/A,,,
Canada,Housing Total,8.97,N/A,,,
Canada,Transportation Total,4.07,N/A,,,
Canada,Total,22.52,N/A,,,
Colorado,Household Size,2.53,,2009-2013,http://quickfacts.census.gov/qfd/states/34000.html,
Colorado,Electricity,5.89,,2014,Calculated in workbook,
Colorado,Other Fuels,4.23,,2013,https://www.eia.gov/state/seds/seds-data-complete.cfm (2013); American Communities Survey (2013),See Regional Averages by Sector workbook
