Region,Characteristic,Value (metric tons CO2e/year),Updated?,Year
Alabama,Electricity,0.00097360574,Y,2018
Alaska,Electricity,0.00031830711,Y,2018
Arizona,Electricity,0.00066141783,Y,2018
Arkansas,Electricity,0.00074870858,Y,2018
California,Electricity,0.00033409151,Y,2018
Canada,Electricity,0.00019455810,Y,2018
Colorado,Electricity,0.00086804754,Y,2018
Connecticut,Electricity,0.00053440826,Y,2018
Delaware,Electricity,0.00067754974,Y,2018
District of Columbia,Electricity,0.00067754974,Y,2018
Florida,Electricity,0.00090357953,Y,2018
Georgia,Electricity,0.00097360574,Y,2018
Hawaii,Electricity,0.00073055774,Y,2018
Idaho,Electricity,0.00041322978,Y,2018
Illinois,Electricity,0.00137373272,Y,2018
Indiana,Electricity,0.00137373272,Y,2018
Iowa,Electricity,0.00136929146,Y,2018
Kansas,Electricity,0.00156110682,Y,2018
Kentucky,Electricity,0.00106030413,Y,2018
Louisiana,Electricity,0.00074870858,Y,2018
Maine,Electricity,0.00053440826,Y,2018
Maryland,Electricity,0.00067754974,Y,2018
Massachusetts,Electricity,0.00053440826,Y,2018
Michigan,Electricity,0.00140383587,Y,2018
Minnesota,Electricity,0.00136929146,Y,2018
Mississippi,Electricity,0.00106030413,Y,2018
Missouri,Electricity,0.00178096824,Y,2018
Montana,Electricity,0.00041322978,Y,2018
Nebraska,Electricity,0.00136929146,Y,2018
Nevada,Electricity,0.00041322978,Y,2018
New Hampshire,Electricity,0.00053440826,Y,2018
New Jersey,Electricity,0.00072248926,Y,2018
New Mexico,Electricity,0.00066141783,Y,2018
New York,Electricity,0.00028055540,Y,2018
North Carolina,Electricity,0.00072023971,Y,2018
North Dakota,Electricity,0.00136929146,Y,2018
Ohio,Electricity,0.00137373272,Y,2018
Oklahoma,Electricity,0.00111561849,Y,2018
Ontario,Electricity,0.00019455810,Y,2018
Oregon,Electricity,0.00041322978,Y,2018
Pennsylvania,Electricity,0.00072248926,Y,2018
Rhode Island,Electricity,0.00053440826,Y,2018
South Carolina,Electricity,0.00072023971,Y,2018
South Dakota,Electricity,0.00136929146,Y,2018
Tennessee,Electricity,0.00106030413,Y,2018
Texas,Electricity,0.00090155519,Y,2018
Utah,Electricity,0.00041322978,Y,2018
Vermont,Electricity,0.00053440826,Y,2018
Virginia,Electricity,0.00072023971,Y,2018
Washington,Electricity,0.00041322978,Y,2018
West Virginia,Electricity,0.00111260997,Y,2018
Wisconsin,Electricity,0.00184334907,Y,2018
Wyoming,Electricity,0.00086804754,Y,2018
Canada - All,Electricity,6.38686263657,Y,2018
United States of America,Electricity,6.38686263657,Y,2018
Alabama,Food and Waste Total,7.44011815595,Y,2018
Alaska,Food and Waste Total,7.44011815595,Y,2018
Arizona,Food and Waste Total,7.44011815595,Y,2018
Arkansas,Food and Waste Total,7.44011815595,Y,2018
California,Food and Waste Total,8.48546328000,Y,2018
Canada,Food and Waste Total,7.44011815595,Y,2018
Colorado,Food and Waste Total,7.25252836000,Y,2018
Connecticut,Food and Waste Total,7.44011815595,Y,2018
Delaware,Food and Waste Total,6.45050000000,Y,2018
District of Columbia,Food and Waste Total,6.45050000000,Y,2018
Florida,Food and Waste Total,7.48185732000,Y,2018
Georgia,Food and Waste Total,7.44011815595,Y,2018
Hawaii,Food and Waste Total,7.44011815595,Y,2018
Idaho,Food and Waste Total,7.44011815595,Y,2018
Illinois,Food and Waste Total,7.53918956000,Y,2018
Indiana,Food and Waste Total,7.44011815595,Y,2018
Iowa,Food and Waste Total,7.44011815595,Y,2018
Kansas,Food and Waste Total,7.44011815595,Y,2018
Kentucky,Food and Waste Total,7.44011815595,Y,2018
Louisiana,Food and Waste Total,7.44011815595,Y,2018
Maine,Food and Waste Total,6.67920596000,Y,2018
Maryland,Food and Waste Total,7.59652180000,Y,2018
Massachusetts,Food and Waste Total,7.19519612000,Y,2018
Michigan,Food and Waste Total,7.44011815595,Y,2018
Minnesota,Food and Waste Total,7.08053164000,Y,2018
Mississippi,Food and Waste Total,7.44011815595,Y,2018
Missouri,Food and Waste Total,7.44011815595,Y,2018
Montana,Food and Waste Total,7.44011815595,Y,2018
Nebraska,Food and Waste Total,7.44011815595,Y,2018
Nevada,Food and Waste Total,7.44011815595,Y,2018
New Hampshire,Food and Waste Total,7.18945864000,Y,2018
New Jersey,Food and Waste Total,7.85117500000,Y,2018
New Mexico,Food and Waste Total,7.44011815595,Y,2018
New York,Food and Waste Total,7.48185732000,Y,2018
North Carolina,Food and Waste Total,7.25252836000,Y,2018
North Dakota,Food and Waste Total,7.44011815595,Y,2018
Ohio,Food and Waste Total,7.15178800000,Y,2018
Oklahoma,Food and Waste Total,7.44011815595,Y,2018
Ontario,Food and Waste Total,7.44011815595,Y,2018
Oregon,Food and Waste Total,7.44011815595,Y,2018
Pennsylvania,Food and Waste Total,7.10919776000,Y,2018
Rhode Island,Food and Waste Total,7.44011815595,Y,2018
South Carolina,Food and Waste Total,7.44011815595,Y,2018
South Dakota,Food and Waste Total,7.44011815595,Y,2018
Tennessee,Food and Waste Total,7.44011815595,Y,2018
Texas,Food and Waste Total,8.08384584000,Y,2018
Utah,Food and Waste Total,7.44011815595,Y,2018
Vermont,Food and Waste Total,6.82253208000,Y,2018
Virginia,Food and Waste Total,7.44011815595,Y,2018
Washington,Food and Waste Total,7.44011815595,Y,2018
West Virginia,Food and Waste Total,7.44011815595,Y,2018
Wisconsin,Food and Waste Total,7.44011815595,Y,2018
Wyoming,Food and Waste Total,7.44011815595,Y,2018
Canada - All,Food and Waste Total,7.44011815595,Y,2018
United States of America,Food and Waste Total,7.44011815595,Y,2018
Alabama,Food*,6.78011815595,Y,2018
Alaska,Food*,6.78011815595,Y,2018
Arizona,Food*,6.78011815595,Y,2018
Arkansas,Food*,6.78011815595,Y,2018
California,Food*,7.74631200000,Y,2018
Canada,Food*,6.78011815595,Y,2018
Colorado,Food*,6.61645600000,Y,2018
Connecticut,Food*,6.78011815595,Y,2018
Delaware,Food*,5.89050000000,Y,2018
District of Columbia,Food*,5.89050000000,Y,2018
Florida,Food*,6.82567200000,Y,2018
Georgia,Food*,6.78011815595,Y,2018
Hawaii,Food*,6.78011815595,Y,2018
Idaho,Food*,6.78011815595,Y,2018
Illinois,Food*,6.87797600000,Y,2018
Indiana,Food*,6.78011815595,Y,2018
Iowa,Food*,6.78011815595,Y,2018
Kansas,Food*,6.78011815595,Y,2018
Kentucky,Food*,6.78011815595,Y,2018
Louisiana,Food*,6.78011815595,Y,2018
Maine,Food*,6.09341600000,Y,2018
Maryland,Food*,6.93028000000,Y,2018
Massachusetts,Food*,6.56415200000,Y,2018
Michigan,Food*,6.78011815595,Y,2018
Minnesota,Food*,6.45954400000,Y,2018
Mississippi,Food*,6.78011815595,Y,2018
Missouri,Food*,6.78011815595,Y,2018
Montana,Food*,6.78011815595,Y,2018
Nebraska,Food*,6.78011815595,Y,2018
Nevada,Food*,6.78011815595,Y,2018
New Hampshire,Food*,6.56847100000,Y,2018
New Jersey,Food*,7.16117500000,Y,2018
New Mexico,Food*,6.78011815595,Y,2018
New York,Food*,6.82567200000,Y,2018
North Carolina,Food*,6.61645600000,Y,2018
North Dakota,Food*,6.78011815595,Y,2018
Ohio,Food*,6.52178800000,Y,2018
Oklahoma,Food*,6.78011815595,Y,2018
Ontario,Food*,6.78011815595,Y,2018
Oregon,Food*,6.78011815595,Y,2018
Pennsylvania,Food*,6.48569600000,Y,2018
Rhode Island,Food*,6.78011815595,Y,2018
South Carolina,Food*,6.78011815595,Y,2018
South Dakota,Food*,6.78011815595,Y,2018
Tennessee,Food*,6.78011815595,Y,2018
Texas,Food*,7.37486400000,Y,2018
Utah,Food*,6.78011815595,Y,2018
Vermont,Food*,6.23422800000,Y,2018
Virginia,Food*,6.78011815595,Y,2018
Washington,Food*,6.78011815595,Y,2018
West Virginia,Food*,6.78011815595,Y,2018
Wisconsin,Food*,6.78011815595,Y,2018
Wyoming,Food*,6.78011815595,Y,2018
Canada - All,Food*,6.78011815595,Y,2018
United States of America,Food*,6.78011815595,Y,2018
Alabama,Household Size,2.6,Y,2018
Alaska,Household Size,2.6,Y,2018
Arizona,Household Size,2.6,Y,2018
Arkansas,Household Size,2.6,Y,2018
