Question ID	Question Text	Section	Group	Question Join Key	Campaign	Cell	Key	Question Updated
10135	Where is your primary work location?	Basics	Location	2015 VEIC Carbon Survey_2	2015 VEIC Carbon Survey	i2	2	Where is your primary work location?
10138	Where is your primary work location?	Basics	Location	2016 Ben & Jerry's Household Carbon Survey_2	2016 Ben & Jerry's Household Carbon Survey	i2	2	Where is your primary work location?
10135	What state do you live in?	Basics	Location	2016 Middlebury College Household Sustainability Survey_2	2016 Middlebury College Household Sustainability Survey	i2	2	Where is your primary work location?
10135	Where is your primary work location?	Basics	Location	Carbon Assessment for LEAD H1_2	Carbon Assessment for LEAD H1	i2	2	Where is your primary work location?
10135	What state do you live in?	Basics	Location	City of Fort Collins (rev2)_2	City of Fort Collins (rev2)	i2	2	What state do you live in?
10135	What state do you live in?	Basics	Location	New Belgium Brewery Sustainability Survey_2	New Belgium Brewery Sustainability Survey	i2	2	What state do you live in?
10135	What state do you live in?	Basics	Location	Odell Sustainability Survey_2	Odell Sustainability Survey	i2	2	What state do you live in?
10086	May we ask you some questions about your opinions?	Basics	Optional	2015 VEIC Carbon Survey_3	2015 VEIC Carbon Survey	i3	3	May we ask you some questions about your opinions?
10086	May we ask you some questions about your opinions?	Basics	Optional	2016 Ben & Jerry's Household Carbon Survey_3	2016 Ben & Jerry's Household Carbon Survey	i3	3	May we ask you some questions about your opinions?
10098	What department are you in?	Basics	Location	2016 Middlebury College Household Sustainability Survey_3	2016 Middlebury College Household Sustainability Survey	i3	3	What department are you in?
10086	May we ask you some questions about your opinions?	Basics	Optional	Carbon Assessment for LEAD H1_3	Carbon Assessment for LEAD H1	i3	3	May we ask you some questions about your opinions?
10012	"Working at an environmentally responsible employer is important to me"	Basics	Opinions 1 of 2	2015 VEIC Carbon Survey_4	2015 VEIC Carbon Survey	i4	4	Working at an environmentally responsible company is important to me
10012	"Working at an environmentally responsible employer is important to me"	Basics	Opinions 1 of 2	2016 Ben & Jerry's Household Carbon Survey_4	2016 Ben & Jerry's Household Carbon Survey	i4	4	Working at an environmentally responsible company is important to me
10086	May we ask you some questions about your opinions?	Basics	Optional	2016 Middlebury College Household Sustainability Survey_4	2016 Middlebury College Household Sustainability Survey	i4	4	May we ask you some questions about your opinions?
10012	"Working at an environmentally responsible employer is important to me"	Basics	Opinions 1 of 2	Carbon Assessment for LEAD H1_4	Carbon Assessment for LEAD H1	i4	4	Working at an environmentally responsible company is important to me
10012	"Working at an environmentally responsible employer is important to me"	Basics	Opinions 1 of 2	City of Fort Collins (rev2)_4	City of Fort Collins (rev2)	i3	4	Working at an environmentally responsible company is important to me
10012	"Working at an environmentally responsible company is important to me"	Basics	Opinions 1 of 2	New Belgium Brewery Sustainability Survey_4	New Belgium Brewery Sustainability Survey	i3	4	Working at an environmentally responsible company is important to me
10012	"Working at an environmentally responsible employer is important to me"	Basics	Opinions 1 of 2	Odell Sustainability Survey_4	Odell Sustainability Survey	i3	4	Working at an environmentally responsible company is important to me
10008	"I'm taking this survey because I want to see my report"	Basics	Opinions 1 of 2	2015 VEIC Carbon Survey_5	2015 VEIC Carbon Survey	i5	5	I'm taking this survey because I want to see my report
10023	“I know about the sustainable Food, Energy, and Transportation opportunities that are available to me and my household"	Basics	Opinions 1 of 2	2016 Ben & Jerry's Household Carbon Survey_5	2016 Ben & Jerry's Household Carbon Survey	i5	5	I know about the sustainable opportunities that are available to me and my household
10012	"Working at an environmentally responsible employer is important to me"	Basics	Opinions 1 of 2	2016 Middlebury College Household Sustainability Survey_5	2016 Middlebury College Household Sustainability Survey	i5	5	Working at an environmentally responsible company is important to me
10005	"I know what our Wellbeing & Carbon Reduction Reimbursement is and where to find it"	Basics	Opinions 1 of 2	Carbon Assessment for LEAD H1_5	Carbon Assessment for LEAD H1	i5	5	I know what our current benefit is and how to use it
