Category Name,Focus Area,Product Type,Percent to Reimburse,Category Description,Focus Area Description,Product Type Description, Program Name, Eligibility Description, Description of Exclusions,Benefit Category Image Url
Custom,,,100%,,,
Transportation,,,100%,,,
Food & Waste,,,100%,,,
Home Energy,,,100%,,,
Transportation,Bikes,,100%,,,
Transportation,Electric Vehicles,,100%,,,
Transportation,Hybrid Vehicles,,100%,,,
Transportation,Plug-in Hybrids,,100%,,,
Transportation,(Custom),,100%,,,
Food & Waste,Bulk Purchase from Farmer,,100%,,,
Food & Waste,Community Supported Agriculture (CSA) share,,100%,,,
Food & Waste,Composting,,100%,,,
Food & Waste,Gardening (soil/seeds and small food plants),,100%,,,
Food & Waste,(Custom),,100%,,,
Home Energy,Appliances (ENERGY STAR),,100%,,,
Home Energy,Building Products,,100%,,,
Home Energy,Comprehensive (Whole-House),,100%,,,
Home Energy,Heating Cooling &Ventilation,,100%,,,
Home Energy,Lighting (ENERGY STAR),,100%,,,
Home Energy,Water Heating (ENERGY STAR),,100%,,,
Home Energy,Renewable Energy,,100%,,,
Home Energy,(Custom),,100%,,,
Home Energy,Appliances (ENERGY STAR),Air Purifiers (Cleaners),100%,,,
Home Energy,Appliances (ENERGY STAR),Clothes Dryers,100%,,,
Home Energy,Appliances (ENERGY STAR),Clothes Washers,100%,,,
Home Energy,Appliances (ENERGY STAR),Commercial Clothes Washers,100%,,,
Home Energy,Appliances (ENERGY STAR),Dehumidifiers,100%,,,
Home Energy,Appliances (ENERGY STAR),Dishwashers,100%,,,
Home Energy,Appliances (ENERGY STAR),Freezers,100%,,,
Home Energy,Appliances (ENERGY STAR),Refrigerators,100%,,,
Home Energy,Building Products,Roof Products,100%,,,
Home Energy,Building Products,Sealing and Insulation,100%,,,
Home Energy,Building Products,Windows & Doors (ENERGY STAR),100%,,,
Home Energy,Comprehensive (Whole-House),Home Energy Audit,100%,,,
Home Energy,Comprehensive (Whole-House),Home Performance with ENERGY STAR,100%,,,
Home Energy,Comprehensive (Whole-House),Weatherization,100%,,,
Home Energy,Heating Cooling &Ventilation,Air-Source Heat Pumps,100%,,,
Home Energy,Heating Cooling &Ventilation,Boilers,100%,,,
Home Energy,Heating Cooling &Ventilation,Central Air Conditioner,100%,,,
Home Energy,Heating Cooling &Ventilation,Ductless Heating & Cooling,100%,,,
Home Energy,Heating Cooling &Ventilation,Furnaces,100%,,,
Home Energy,Heating Cooling &Ventilation,Geothermal Heat Pumps,100%,,,
Home Energy,Heating Cooling &Ventilation,Light Commercial Heating & Cooling,100%,,,
Home Energy,Heating Cooling &Ventilation,Room Air Conditioner,100%,,,
Home Energy,Heating Cooling &Ventilation,Ventilation Fans & Energy Recovery Units,100%,,,
Home Energy,Heating Cooling &Ventilation,Smart Thermostats,100%,,,
Home Energy,Lighting (ENERGY STAR),Ceiling Fans,100%,,,
Home Energy,Lighting (ENERGY STAR),Decorative Light Strings,100%,,,
Home Energy,Lighting (ENERGY STAR),Light Bulbs,100%,,,
Home Energy,Lighting (ENERGY STAR),Light Fixtures,100%,,,
Home Energy,Water Heating,Condensing Gas,100%,,,
Home Energy,Water Heating,Demand Recirculation Pump,100%,,,
Home Energy,Water Heating,Drainwater Heat Recovery,100%,,,
Home Energy,Water Heating,Heat Pump Water Heaters,100%,,,
Home Energy,Water Heating,Solar Water Heating System,100%,,,
Home Energy,Renewable Energy,Solar Panel System,100%,,,
Home Energy,Renewable Energy,Wind Turbine,100%,,,
Home Energy,(Custom),(Custom),100%,,,
Nutrition,Appliance,Blender,100%,,,,Wellness Program
Mindfulness,Wellness,Massage,100%,,,,Wellness Program
Mindfulness,Wellness,Yoga,100%,,,,Wellness Program,Bah,Bah,Bah
